Year,Age category,Single Year of Age,Sex category,Sex,UNIT,VALUE
1998,-,All ages,-,Both sexes,Number,3703082
1998,-,All ages,1,Male,Number,1838859
1998,-,All ages,2,Female,Number,1864223
1998,200,Under 1 year,-,Both sexes,Number,52600
1998,200,Under 1 year,1,Male,Number,27036
1998,200,Under 1 year,2,Female,Number,25564
1998,001,1 year,-,Both sexes,Number,51180
1998,001,1 year,1,Male,Number,26427
1998,001,1 year,2,Female,Number,24753
1998,002,2 years,-,Both sexes,Number,50219
1998,002,2 years,1,Male,Number,25962
1998,002,2 years,2,Female,Number,24257
1998,003,3 years,-,Both sexes,Number,49512
1998,003,3 years,1,Male,Number,25517
1998,003,3 years,2,Female,Number,23995
1998,004,4 years,-,Both sexes,Number,50156
1998,004,4 years,1,Male,Number,25849
1998,004,4 years,2,Female,Number,24307
1998,005,5 years,-,Both sexes,Number,52093
1998,005,5 years,1,Male,Number,26734
1998,005,5 years,2,Female,Number,25359
1998,006,6 years,-,Both sexes,Number,54184
1998,006,6 years,1,Male,Number,27556
1998,006,6 years,2,Female,Number,26628
1998,007,7 years,-,Both sexes,Number,56103
1998,007,7 years,1,Male,Number,28962
1998,007,7 years,2,Female,Number,27141
1998,008,8 years,-,Both sexes,Number,55715
1998,008,8 years,1,Male,Number,28417
1998,008,8 years,2,Female,Number,27298
1998,009,9 years,-,Both sexes,Number,55710
1998,009,9 years,1,Male,Number,28584
1998,009,9 years,2,Female,Number,27126
1998,010,10 years,-,Both sexes,Number,57719
1998,010,10 years,1,Male,Number,29377
1998,010,10 years,2,Female,Number,28342
1998,011,11 years,-,Both sexes,Number,60910
1998,011,11 years,1,Male,Number,31416
1998,011,11 years,2,Female,Number,29494
1998,012,12 years,-,Both sexes,Number,61724
1998,012,12 years,1,Male,Number,31644
1998,012,12 years,2,Female,Number,30080
1998,013,13 years,-,Both sexes,Number,62547
1998,013,13 years,1,Male,Number,32251
1998,013,13 years,2,Female,Number,30296
1998,014,14 years,-,Both sexes,Number,65422
1998,014,14 years,1,Male,Number,33579
1998,014,14 years,2,Female,Number,31843
1998,015,15 years,-,Both sexes,Number,67982
1998,015,15 years,1,Male,Number,34838
1998,015,15 years,2,Female,Number,33144
1998,016,16 years,-,Both sexes,Number,69613
