Year,Age Group,Sex,Population,Emigrants_All_Destinations,Immigrants_All_Origins,Net_Migration,Migration_Rate
2021,65 years and over,Male,352493,1400.0,1600.0,200.00000000000017,0.5673871537874515
2022,0 - 14 years,Female,495291,1300.0,8000.0,6700.0,13.527401063213343
2022,0 - 14 years,Male,519001,2100.0,8400.0,6300.000000000001,12.13870493505793
2022,15 - 24 years,Female,319084,11000.0,11800.0,800.0000000000007,2.5071767935716007
2022,15 - 24 years,Male,330633,10000.0,9100.0,-900.0000000000003,-2.7220513378882334
2022,25 - 44 years,Female,737261,8600.0,29300.0,20700.000000000004,28.07689542780644
2022,25 - 44 years,Male,696935,13000.0,24400.0,11399.999999999998,16.35733604999031
2022,45 - 64 years,Female,657286,4100.0,7100.0,3000.0,4.564223184428087
2022,45 - 64 years,Male,647176,3300.0,5600.0,2300.0,3.5539018752240503
2022,65 years and over,Female,413090,1500.0,2400.0,899.9999999999999,2.17870197777724
2022,65 years and over,Male,368209,1100.0,1700.0,599.9999999999999,1.6295093275829757
2023,0 - 14 years,Female,495095,2600.0,10800.0,8200.000000000002,16.562477908280233
2023,0 - 14 years,Male,516544,2900.0,11100.0,8200.0,15.874736711683806
2023,15 - 24 years,Female,327205,12300.0,13700.0,1399.9999999999986,4.278663223361497
2023,15 - 24 years,Male,340010,7500.0,10000.0,2500.0,7.352724919855299
2023,25 - 44 years,Female,749551,15200.0,38200.0,23000.000000000004,30.685036775349513
2023,25 - 44 years,Male,708172,17200.0,36800.0,19599.999999999996,27.676892054472635
2023,45 - 64 years,Female,677223,2200.0,10300.0,8100.000000000002,11.960609725304666
2023,45 - 64 years,Male,661516,3000.0,6600.0,3599.9999999999995,5.442045241536108
2023,65 years and over,Female,426368,600.0,2500.0,1900.0,4.456244371059742
2023,65 years and over,Male,379928,400.0,1500.0,1100.0,2.8952854225011055
